21351.040.000.00.00;BOUVARDIA ELEGANCE DOUBLE SALMON 040    
21351.999.000.00.00;BOUVARDIA ELEGANCE DOUBLE SALMON        
21351.070.000.00.00;BOUVARDIA ELEGAN DOUBLE SALMON 070      
21351.060.000.00.00;BOUVARDIA ELEGAN DOUBLE SALMON 060      
21351.050.000.00.00;BOUVARDIA ELEGAN DOUBLE SALMON 050      
21346.080.000.00.07;CRIS ATTRACTION 080 CM ROSA             
21346.070.000.00.07;CRIS ATTRACTION 070 CM ROSA             
21346.060.000.00.07;CRIS ATTRACTION 060 CM ROSA             
21346.050.000.00.07;CRIS ATTRACTION 050 CM ROSA             
21346.080.000.00.01;CRIS ATTRACTION 080 CM BRANCO           
21346.070.000.00.01;CRIS ATTRACTION 070 CM BRANCO           
21346.060.000.00.01;CRIS ATTRACTION 060 CM BRANCO           
21346.050.000.00.01;CRIS ATTRACTION 050 CM BRANCO           
21345.999.000.00.00;BOUVARDIA ELEGANCE BIANCA               
00716.018.000.02.00;CYMBIDIUM P18 MIN 2 HT                  
00716.018.000.01.00;CYMBIDIUM P18 MIN 1 HT                  
21326.070.500.00.00;LISIANTHUS MEGALO II YELLOW 070 CM      
21326.060.500.00.00;LISIANTHUS MEGALO II YELLOW 060 CM      
21326.050.500.00.00;LISIANTHUS MEGALO II YELLOW 050 CM      
21342.070.500.00.00;LISIANTHUS POT ARENA III CHAMPAGNE 070 C
21342.060.500.00.00;LISIANTHUS POT ARENA III CHAMPAGNE 060 C
21342.050.500.00.00;LISIANTHUS POT ARENA III CHAMPAGNE 050 C
20307.060.000.00.00;BOUVARDIA ELEGANCE ROSE CLAIR 060 CM    
21345.070.000.00.00;BOUVARDIA ELEGANCE BIANCA 070 CM        
21345.060.000.00.00;BOUVARDIA ELEGANCE BIANCA 060 CM        
21345.050.000.00.00;BOUVARDIA ELEGANCE BIANCA 050 CM        
21345.040.000.00.00;BOUVARDIA ELEGANCE BIANCA 040 CM        
21338.012.000.00.00;CALATHEA ROSEA PICTA ROSY P12           
21335.000.000.00.00;LISIANTHUS FLOR AUBE 3 RED              
21334.000.000.00.00;LISIANTHUS FLOR ROSITA III LAVENDER     
